Event_name,Location,Depth,Magnitude
B032377A,6.79 -73.05,164.0,5.5
B032377B,-14.80 -178.16,33.0,5.0
B032377C,-14.47 -177.95,33.0,5.5
B032377D,-14.43 -177.96,2.0,5.6
B032377E,27.62 56.59,35.0,5.8
B032577A,38.56 40.02,21.0,5.2
B032677A,52.30 -168.26,38.0,5.7
B032677B,-18.59 -174.15,93.0,5.6
B032677C,-0.98 -13.48,33.0,5.3
B032877A,-14.68 167.10,109.0,5.7
B033077A,31.46 140.19,33.0,5.3
B040177A,-48.98 124.61,33.0,5.8
B040177B,27.55 56.33,29.0,6.2
C040277A,-16.70 -172.10,33.0,6.8
B040277B,16.88 -92.79,249.0,5.3
B040477A,7.30 -34.86,33.0,5.5
B040577A,12.01 144.19,17.0,5.6
B040677A,31.98 50.68,41.0,5.5
B040977A,-10.02 -71.18,564.0,5.5
B040977B,-19.08 169.59,25.0,5.4
B041177A,-52.29 114.59,33.0,5.6
B041177B,23.18 142.26,33.0,5.0
B041377A,36.47 70.91,196.0,5.3
B041377B,3.78 126.76,43.0,5.7
B041477A,-17.67 -178.65,535.0,5.2
B041577A,-23.10 -68.71,99.0,5.4
B041677A,-21.49 -179.21,600.0,5.2
B041877A,36.45 70.78,217.0,5.4
B041977A,-5.54 125.37,526.0,5.7
B042077A,-5.62 148.34,177.0,5.7
B042077B,30.60 137.48,493.0,5.5
B042077C,-9.83 160.32,33.0,6.4
M042077D,-9.89 160.35,19.0,6.3
M042077E,-9.84 160.82,33.0,6.8
C042177A,-9.97 160.73,33.0,6.6
B042277B,-10.17 160.66,51.0,5.6
B042277C,-7.61 119.01,35.0,5.6
B042277A,-17.75 -178.28,538.0,5.5
B042377A,75.23 134.38,37.0,5.0
B042677A,-41.32 -89.27,33.0,4.9
B042677B,32.66 48.92,47.0,5.4
B042777A,-55.20 -127.24,33.0,5.1
B050177A,-6.12 -77.13,123.0,4.9
B050177B,-7.20 154.39,32.0,5.6
B050277A,7.19 123.26,24.0,5.7
B050777A,71.75 -1.81,33.0,5.4
B050777B,-25.75 179.95,450.0,5.4
B050877A,-1.25 -81.07,27.0,5.1
B050977A,27.13 126.75,109.0,5.4
